Time,Mean_Minutes,CI_Lower,CI_Upper
00:00,87.359375,86.86408669661274,87.85466330338726
00:10,87.0625,86.65980369443447,87.46519630556553
00:20,87.21875,86.90469620157296,87.53280379842704
00:30,87.09375,86.64191196387743,87.54558803612257
00:40,87.21875,86.67814032512864,87.75935967487136
00:50,87.1875,86.41807114290597,87.95692885709403
01:00,87.3125,86.56866200710274,88.05633799289726
01:10,87.125,86.32443014247713,87.92556985752287
01:20,86.84375,86.06595201359139,87.62154798640861
01:30,87.0,86.30146928393211,87.69853071606789
01:40,86.96875,86.15506070292315,87.78243929707685
01:50,86.90625,86.18395558371927,87.62854441628073
02:00,86.90625,86.06047328239163,87.75202671760837
02:10,86.78125,85.92920079201811,87.63329920798189
02:20,87.03125,86.15787873361232,87.90462126638768
02:30,87.0625,86.3533093265628,87.7716906734372
02:40,86.71875,86.03007728318373,87.40742271681627
02:50,87.15625,86.42463312208616,87.88786687791384
03:00,87.28125,86.4929428419688,88.0695571580312
03:10,87.1875,86.62786175999364,87.74713824000636
03:20,87.03125,86.48529424031588,87.57720575968412
03:30,86.375,85.77326393632875,86.97673606367125
03:40,86.21875,85.62358606385543,86.81391393614457
03:50,85.6875,85.00900679871236,86.36599320128764
04:00,85.5625,84.95316949087146,86.17183050912854
04:10,85.4375,84.73379107579909,86.14120892420091
04:20,85.40625,84.7484963463031,86.0640036536969
04:30,85.09375,84.52096715150307,85.66653284849693
04:40,85.40625,84.75441052001946,86.05808947998054
04:50,85.28125,84.58697680292451,85.97552319707549
05:00,85.25,84.67965205865757,85.82034794134243
05:10,85.15625,84.6498534660498,85.6626465339502
05:20,85.53125,85.04137350346763,86.02112649653237
05:30,86.40625,85.88664295438299,86.92585704561701
05:40,86.8125,86.25982487084445,87.36517512915555
05:50,87.84375,86.95010648051398,88.73739351948602
06:00,89.71875,88.46104249210985,90.97645750789015
06:10,92.4375,90.19387107209569,94.68112892790431
06:20,94.0,91.20172230389547,96.79827769610453
06:30,96.21875,92.78566419049811,99.65183580950189
06:40,97.15625,93.48719869896907,100.82530130103093
06:50,97.9375,93.9577549370432,101.9172450629568
07:00,98.21875,94.31386008193861,102.12363991806139
07:10,97.4375,93.7433843925822,101.1316156074178
07:20,96.3125,92.76,99.865
07:30,95.15625,91.99767201790876,98.31482798209124
07:40,94.0,91.32917736485796,96.67082263514204
07:50,93.0625,90.62527726969881,95.49972273030119
08:00,92.4375,90.2462638357723,94.6287361642277
08:10,91.96875,90.02166617194644,93.91583382805356
08:20,91.65625,90.06333209577619,93.24916790422381
08:30,91.28125,89.80013693296605,92.76236306703395
08:40,91.03125,89.62181293052063,92.44068706947937
08:50,90.65625,89.4933322160714,91.8191677839286
09:00,90.375,89.29087444186273,91.45912555813727
09:10,90.40625,89.40723216074728,91.40526783925272
09:20,90.25,89.29400364422344,91.20599635577656
09:30,90.0,89.15129510429125,90.84870489570875
09:40,90.15625,89.36855714727,90.94394285273
09:50,90.0,89.10683057995517,90.89316942004483
10:00,90.5625,89.62310428225581,91.50189571774419
10:10,90.84375,89.98547414131774,91.70202585868226
10:20,90.96875,90.04369902603398,91.89380097396602
10:30,91.28125,90.34063123595466,92.22186876404534
10:40,91.59375,90.75949862731753,92.42800137268247
10:50,91.59375,90.75949862731753,92.42800137268247
11:00,92.34375,91.5487168106441,93.1387831893559
11:10,92.65625,91.81391432755068,93.49858567244932
11:20,92.5,91.72774523675484,93.27225476324516
11:30,92.34375,91.57345657167167,93.11404342832833
11:40,92.46875,91.65744383613074,93.28005616386926
11:50,92.90625,92.1321951978745,93.6803048021255
12:00,93.96875,92.71335392527479,95.22414607472521
12:10,93.84375,92.59570170511275,95.09179829488725
12:20,94.0,92.82255196676552,95.17744803323448
12:30,93.875,92.70497553099753,95.04502446900247
12:40,92.96875,92.30149760693693,93.63600239306307
12:50,92.9375,92.21747101872843,93.65752898127157
13:00,93.0625,92.38115896583376,93.74384103416624
13:10,92.78125,92.07316937224408,93.48933062775592
13:20,92.625,91.83416387652463,93.41583612347537
13:30,92.4375,91.65065260015352,93.22434739984648
13:40,92.75,91.94340620608196,93.55659379391804
13:50,93.5,92.28372461734538,94.71627538265462
14:00,92.875,92.0183471926982,93.7316528073018
14:10,93.59375,92.2594719429715,94.9280280570285
14:20,94.03125,92.71855149350598,95.34394850649402
14:30,94.15625,92.80969332872634,95.50280667127366
14:40,95.5625,93.89748238166834,97.22751761833166
14:50,95.71875,94.0437683107645,97.3937316892355
15:00,96.25,94.42081721049553,98.07918278950447
15:10,96.96875,95.07612851681087,98.86137148318913
15:20,96.34375,94.44474507434518,98.24275492565482
15:30,96.21875,94.36280294641097,98.07469705358903
15:40,96.21875,94.36280294641097,98.07469705358903
15:50,96.09375,94.3001432000512,97.8873567999488
16:00,95.71875,94.02080557447323,97.41669442552677
16:10,95.0625,93.57694054472354,96.54805945527646
16:20,94.25,92.95657244551167,95.54342755448833
16:30,93.4375,92.38165003280494,94.49334996719506
16:40,92.5,91.66974741503641,93.33025258496359
16:50,92.375,91.6039999163215,93.1460000836785
17:00,91.4375,90.88133241821168,91.99366758178832
17:10,91.03125,90.5533784273789,91.5091215726211
17:20,90.75,90.20039897168711,91.29960102831289
17:30,90.34375,89.84119167606971,90.84630832393029
17:40,90.21875,89.72298004041937,90.71451995958063
17:50,89.65625,89.28694328519946,90.02555671480054
18:00,89.21875,88.72298004041937,89.71451995958063
18:10,89.25,88.87661962661944,89.62338037338056
18:20,89.25,89.00107975107963,89.49892024892037
18:30,89.125,88.89635215131194,89.35364784868806
