Date and Time,Travel Time,Travel Minutes,State
2024-11-05 00:00:00,1 hour 29 mins,89,Medium
2024-11-05 00:10:00,1 hour 28 mins,88,Medium
2024-11-05 00:20:00,1 hour 28 mins,88,Medium
2024-11-05 00:30:00,1 hour 27 mins,87,Low
2024-11-05 00:40:00,1 hour 28 mins,88,Medium
2024-11-05 00:50:00,1 hour 28 mins,88,Medium
2024-11-05 01:00:00,1 hour 29 mins,89,Medium
2024-11-05 01:10:00,1 hour 29 mins,89,Medium
2024-11-05 01:20:00,1 hour 30 mins,90,Medium
2024-11-05 01:30:00,1 hour 29 mins,89,Medium
2024-11-05 01:40:00,1 hour 30 mins,90,Medium
2024-11-05 01:50:00,1 hour 29 mins,89,Medium
2024-11-05 02:00:00,1 hour 27 mins,87,Low
2024-11-05 02:10:00,1 hour 26 mins,86,Low
2024-11-05 02:20:00,1 hour 27 mins,87,Low
2024-11-05 02:30:00,1 hour 28 mins,88,Medium
2024-11-05 02:40:00,1 hour 25 mins,85,Low
2024-11-05 02:50:00,1 hour 25 mins,85,Low
2024-11-05 03:00:00,1 hour 24 mins,84,Low
2024-11-05 03:10:00,1 hour 27 mins,87,Low
2024-11-05 03:20:00,1 hour 27 mins,87,Low
2024-11-05 03:30:00,1 hour 24 mins,84,Low
2024-11-05 03:40:00,1 hour 24 mins,84,Low
2024-11-05 03:50:00,1 hour 23 mins,83,Low
2024-11-05 04:00:00,1 hour 23 mins,83,Low
2024-11-05 04:10:00,1 hour 23 mins,83,Low
2024-11-05 04:20:00,1 hour 24 mins,84,Low
2024-11-05 04:30:00,1 hour 24 mins,84,Low
2024-11-05 04:40:00,1 hour 24 mins,84,Low
2024-11-05 04:50:00,1 hour 23 mins,83,Low
2024-11-05 05:00:00,1 hour 23 mins,83,Low
2024-11-05 05:10:00,1 hour 23 mins,83,Low
2024-11-05 05:20:00,1 hour 25 mins,85,Low
2024-11-05 05:30:00,1 hour 25 mins,85,Low
2024-11-05 05:40:00,1 hour 27 mins,87,Low
2024-11-05 05:50:00,1 hour 30 mins,90,Medium
2024-11-05 06:00:00,1 hour 33 mins,93,High
2024-11-05 06:10:00,1 hour 39 mins,99,High
2024-11-05 06:20:00,1 hour 41 mins,101,High
2024-11-05 06:30:00,1 hour 48 mins,108,High
2024-11-05 06:40:00,1 hour 50 mins,110,High
2024-11-05 06:50:00,1 hour 52 mins,112,High
2024-11-05 07:00:00,1 hour 52 mins,112,High
2024-11-05 07:10:00,1 hour 51 mins,111,High
2024-11-05 07:20:00,1 hour 49 mins,109,High
2024-11-05 07:30:00,1 hour 47 mins,107,High
2024-11-05 07:40:00,1 hour 44 mins,104,High
2024-11-05 07:50:00,1 hour 42 mins,102,High
2024-11-05 08:00:00,1 hour 40 mins,100,High
2024-11-05 08:10:00,1 hour 38 mins,98,High
2024-11-05 08:20:00,1 hour 36 mins,96,High
2024-11-05 08:30:00,1 hour 35 mins,95,High
2024-11-05 08:40:00,1 hour 34 mins,94,High
2024-11-05 08:50:00,1 hour 33 mins,93,High
2024-11-05 09:00:00,1 hour 32 mins,92,Medium
2024-11-05 09:10:00,1 hour 32 mins,92,Medium
2024-11-05 09:20:00,1 hour 32 mins,92,Medium
2024-11-05 09:30:00,1 hour 31 mins,91,Medium
2024-11-05 09:40:00,1 hour 31 mins,91,Medium
