Date and Time,Travel Time,Travel Minutes,State
2024-10-27 16:30:00,1 hour 29 mins,89,High
2024-10-27 16:40:00,1 hour 29 mins,89,High
2024-10-27 16:50:00,1 hour 29 mins,89,High
2024-10-27 17:00:00,1 hour 29 mins,89,High
2024-10-27 17:10:00,1 hour 29 mins,89,High
2024-10-27 17:20:00,1 hour 28 mins,88,Medium
2024-10-27 17:30:00,1 hour 28 mins,88,Medium
2024-10-27 17:40:00,1 hour 28 mins,88,Medium
2024-10-27 17:50:00,1 hour 28 mins,88,Medium
2024-10-27 18:00:00,1 hour 27 mins,87,Medium
2024-10-27 18:10:00,1 hour 28 mins,88,Medium
2024-10-27 18:20:00,1 hour 28 mins,88,Medium
2024-10-27 18:30:00,1 hour 29 mins,89,High
2024-10-27 18:40:00,1 hour 29 mins,89,High
2024-10-27 18:50:00,1 hour 29 mins,89,High
2024-10-27 19:00:00,1 hour 29 mins,89,High
2024-10-27 19:10:00,1 hour 30 mins,90,High
2024-10-27 19:20:00,1 hour 29 mins,89,High
2024-10-27 19:30:00,1 hour 29 mins,89,High
2024-10-27 19:40:00,1 hour 30 mins,90,High
2024-10-27 19:50:00,1 hour 29 mins,89,High
2024-10-27 20:00:00,1 hour 29 mins,89,High
2024-10-27 20:10:00,1 hour 29 mins,89,High
2024-10-27 20:20:00,1 hour 29 mins,89,High
2024-10-27 20:30:00,1 hour 28 mins,88,Medium
2024-10-27 20:40:00,1 hour 27 mins,87,Medium
2024-10-27 20:50:00,1 hour 27 mins,87,Medium
2024-10-27 21:00:00,1 hour 27 mins,87,Medium
2024-10-27 21:10:00,1 hour 26 mins,86,Medium
2024-10-27 21:20:00,1 hour 26 mins,86,Medium
2024-10-27 21:30:00,1 hour 26 mins,86,Medium
2024-10-27 21:40:00,1 hour 26 mins,86,Medium
2024-10-27 21:50:00,1 hour 26 mins,86,Medium
2024-10-27 22:00:00,1 hour 26 mins,86,Medium
2024-10-27 22:10:00,1 hour 26 mins,86,Medium
2024-10-27 22:20:00,1 hour 26 mins,86,Medium
2024-10-27 22:30:00,1 hour 26 mins,86,Medium
2024-10-27 22:40:00,1 hour 25 mins,85,Medium
2024-10-27 22:50:00,1 hour 25 mins,85,Medium
2024-10-27 23:00:00,1 hour 24 mins,84,Low
2024-10-27 23:10:00,1 hour 23 mins,83,Low
2024-10-27 23:20:00,1 hour 23 mins,83,Low
2024-10-27 23:30:00,1 hour 24 mins,84,Low
2024-10-27 23:40:00,1 hour 25 mins,85,Medium
2024-10-27 23:50:00,1 hour 26 mins,86,Medium
2024-10-28 00:00:00,1 hour 28 mins,88,Medium
